Date,Open,High,Low,Close,Adj Close,Volume
2017-01-17,88.580002,89.800003,88.570000,89.099998,89.099998,0
2017-01-18,89.040001,90.029999,86.940002,87.959999,87.959999,0
2017-01-19,86.919998,88.400002,86.400002,87.559998,87.559998,0
2017-01-20,87.669998,89.809998,87.300003,88.680000,88.680000,0
2017-01-23,89.599998,91.309998,89.269997,91.260002,91.260002,0
2017-01-24,91.470001,93.239998,91.110001,91.910004,91.910004,0
2017-01-25,90.150002,90.550003,89.099998,90.360001,90.360001,0
2017-01-26,88.769997,89.190002,87.750000,88.199997,88.199997,0
2017-01-27,88.089996,89.849998,88.070000,89.580002,89.580002,0
2017-01-30,89.639999,90.559998,88.660004,89.019997,89.019997,0
2017-01-31,90.639999,91.760002,90.639999,91.760002,91.760002,0
2017-02-01,90.849998,92.099998,90.129997,91.750000,91.750000,0
2017-02-02,92.760002,94.019997,92.669998,93.110001,93.110001,0
2017-02-03,92.720001,93.769997,92.349998,92.919998,92.919998,0
2017-02-06,93.800003,96.199997,93.269997,96.190002,96.190002,0
2017-02-07,95.540001,96.660004,94.589996,95.290001,95.290001,0
2017-02-08,95.879997,97.199997,95.650002,96.720001,96.720001,0
2017-02-09,97.000000,97.040001,93.779999,94.019997,94.019997,0
2017-02-10,93.089996,95.809998,92.849998,95.419998,95.419998,0
2017-02-13,94.620003,95.139999,94.190002,94.510002,94.510002,0
2017-02-14,95.410004,95.570000,93.129997,94.269997,94.269997,0
2017-02-15,93.440002,94.000000,92.480003,93.400002,93.400002,0
2017-02-16,93.500000,94.959999,93.470001,94.459999,94.459999,0
2017-02-17,94.349998,94.660004,92.459999,92.559998,92.559998,0
2017-02-21,91.370003,92.120003,90.080002,91.730003,91.730003,0
2017-02-22,91.180000,91.370003,88.320000,89.910004,89.910004,0
2017-02-23,90.919998,91.860001,89.559998,89.610001,89.610001,0
2017-02-24,90.690002,90.690002,88.529999,88.620003,88.620003,0
2017-02-27,88.580002,90.779999,84.150002,84.470001,84.470001,0
2017-02-28,85.330002,86.610001,83.669998,84.580002,84.580002,0
2017-03-01,83.559998,85.589996,82.580002,85.029999,85.029999,0
2017-03-02,84.019997,84.029999,80.849998,80.959999,80.959999,0
2017-03-03,80.709999,82.730003,79.930000,82.139999,82.139999,0
2017-03-06,81.550003,81.550003,78.889999,79.879997,79.879997,0
